"{'Buick Special Model 46-S 4.0L 125PS 3-Gang Lenkradschaltung (1941)', 'name'}","{'Buick', 'Manufacturer'}","{'Special 4.0L', 'Model'}","{'1941', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'Horsepower', '125'}","{'6.988 mi', 'Milage'}","{'US', 'Country Version'}","{'🇩🇰 Odense', 'Location'}","{'Rot', 'Color'}"
"{'Cadillac Eldorado from 2nd hand complete checkbook extensive documentation (1992)', 'name'}","{'Cadillac', 'Manufacturer'}","{'Eldorado', 'Model'}","{'1992', 'Year'}","{'Transmission', 'Automatic'}","{'200', 'Horsepower'}","{'209.742 km', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 26904 Börger'}","{'Color', 'white'}"
"{'name', 'Cadillac Escalade Platinum XXL from 1st hand complete checkbook alloy rims (2015)'}","{'Cadillac', 'Manufacturer'}","{'Escalade', 'Model'}","{'2015', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '426'}","{'105.103 km', 'Milage'}","{'Country Version', 'DE'}","{'Location', '🇩🇪 86150 Augsburg'}","{'Color', 'Black'}"
"{'name', 'Cadillac Fleetwood Brougham Power steering electric windows partially restored (1987)'}","{'Cadillac', 'Manufacturer'}","{'Fleetwood Brougham', 'Model'}","{'1987', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '140'}","{'39.730 mi', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 49838 Lengerich/Ems', 'Location'}","{'Color', 'white'}"
"{'Cadillac Fleetwood Eldorado Convertible 8.2-liter V8 partially restored (1973)', 'name'}","{'Cadillac', 'Manufacturer'}","{'Fleetwood Eldorado', 'Model'}","{'1973', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '238'}","{'59.838 mi', 'Milage'}","{'N/A', 'Country Version'}","{'🇩🇪 12489 Berlin', 'Location'}","{'Color', 'white'}"
"{""Cadillac Serie 62 5,4L V8 in collector's condition Certificate Note 2+ (1953)"", 'name'}","{'Cadillac', 'Manufacturer'}","{'Serie 62', 'Model'}","{'1953', 'Year'}","{'Transmission', 'Automatic'}","{'190', 'Horsepower'}","{'19.500 km', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 49377 Vechta', 'Location'}","{'Color', 'Grey'}"
"{'name', 'Cadillac XLR-V Northstar Engine Supercharged V8 from 2nd Hand (2006)'}","{'Cadillac', 'Manufacturer'}","{'XLR-V', 'Model'}","{'2006', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '450'}","{'129.000 km', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 50189 Elsdorf'}","{'Color', 'Black'}"
"{'name', 'Chevrolet Corvette C3 T-Top (1973)'}","{'Manufacturer', 'Chevrolet'}","{'C3', 'Model'}","{'1973', 'Year'}","{'x', 'Transmission'}","{'', 'Horsepower'}","{'000', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 22927 Großhansdorf', 'Location'}","{'Color', 'Gelb'}"
"{'name', 'Chevrolet 3200 Apache Pick Up 86t mi Einmaliges Fahrzeug Restauriert Gutachten 1- (1959)'}","{'Manufacturer', 'Chevrolet'}","{'3200 Apache Pick Up', 'Model'}","{'1959', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'', 'Horsepower'}","{'Milage', '85.392 mi'}","{'US', 'Country Version'}","{'🇩🇪 Böblingen', 'Location'}","{'Color', 'Weiß / Rot'}"
"{'Chevrolet Bel Air V8 253 PS umfangreich restauriert US-Klassiker (1954)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'Bel Air', 'Model'}","{'1958', 'Year'}","{'Automatik', 'Transmission'}","{'Horsepower', '253'}","{'100.000 km', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 80331 München', 'Location'}","{'Gold', 'Color'}"
"{'name', 'Chevrolet Chevelle Malibu Classic with history only 28,200 km very good condition (1977)'}","{'Manufacturer', 'Chevrolet'}","{'Chevelle Malibu', 'Model'}","{'1977', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '145'}","{'28.200 Km', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 76139 Karlsruhe'}","{'Dark green', 'Color'}"
"{'Chevrolet Corvette C2 clean title 327 Sidepipes Note 2+ (1966)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'C2', 'Model'}","{'1966', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '300'}","{'Milage', '964 km'}","{'US', 'Country Version'}","{'🇩🇪 86150 Augbsurg', 'Location'}","{'Color', 'red'}"
"{'Chevrolet Corvette C2 Stingray 5.3 Matching Numbers traumhafter Zustand 18t mi (1964)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'Corvette', 'Model'}","{'1964', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'Horsepower', '360'}","{'Milage', '18.351 mi'}","{'US', 'Country Version'}","{'Location', '🇩🇪 86152 Augsburg'}","{'Color', 'Hellblau Metallic'}"
"{'Chevrolet Corvette C3 400 hp frame-off restored from 2nd hand 4-speed (1969)', 'name'}","{'Manufacturer', 'Chevrolet'}","{'Corvette', 'Model'}","{'1969', 'Year'}","{'Transmission', 'Manual Transmission'}","{'400', 'Horsepower'}","{'80.754 mi', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 13086 Berlin', 'Location'}","{'Color', 'Black'}"
"{""Chevrolet Corvette C3 from 2nd hand underbody preserved collector's vehicle(1979)"", 'name'}","{'Manufacturer', 'Chevrolet'}","{'C3', 'Model'}","{'1979', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '194'}","{'Milage', '71.583 mi'}","{'US', 'Country Version'}","{'🇩🇪 22769 Hamburg', 'Location'}","{'Color', 'Black'}"
